year_month_day,min_temperature,max_temperature,avg_temperature,min_dewpoint,max_dewpoint,avg_dewpoint,min_humidity,max_humidity,min_pressure,max_pressure,avg_pressure,min_visibility,max_visibility,avg_visibility,min_wind_speed,max_wind_speed,avg_wind_speed,fog,rain,thunder,precipitation,num_crimes
2011-01-01,44,71,58,29,72,51,35,100,29.83,30.19,29.98,2,10,10,0,21,8,0,1,0,0.23,1
2011-01-03,28,58,43,15,32,23,20,78,30.17,30.33,30.25,10,10,10,0,10,4,0,0,0,0,1
2011-01-04,38,69,54,34,56,45,55,92,30.01,30.19,30.12,10,10,10,0,8,2,0,0,0,0,1
2011-01-05,52,71,62,34,66,57,36,100,29.84,30.0,29.92,2,10,8,0,16,6,0,1,0,1.18,2
2011-01-06,42,62,52,27,47,36,27,100,29.91,30.04,29.96,8,10,10,0,18,6,0,0,0,0,1
2011-01-18,51,65,58,48,63,55,83,100,29.72,30.0,29.83,1,10,8,0,18,6,0,1,0,1.12,1
2011-01-22,25,50,38,20,29,24,33,92,30.02,30.14,30.07,10,10,10,0,13,2,0,0,0,0,1
2011-02-04,32,37,35,29,36,33,85,100,30.01,30.21,30.13,2,10,6,0,18,7,0,1,0,0.73,1
2011-02-17,52,77,65,52,61,56,47,100,30.08,30.17,30.13,0,10,5,0,22,8,1,0,0,0,1
2011-02-18,48,80,64,48,63,55,48,100,30.13,30.26,30.19,0,10,5,0,13,3,1,0,0,0,1
2011-02-22,61,73,67,61,67,65,73,100,29.93,30.07,30.01,5,10,9,0,14,4,0,1,0,1e-16,1
2011-02-23,56,79,68,56,65,62,64,100,30.02,30.12,30.06,3,10,8,0,16,7,0,0,0,0,1
2011-02-26,50,82,66,48,65,57,43,93,29.91,30.07,30.0,5,10,10,4,18,8,0,0,0,0,1
2011-02-27,67,85,76,66,70,67,55,97,29.82,29.98,29.9,10,10,10,4,28,14,0,0,0,0,1
2011-03-08,55,73,64,52,70,63,86,100,29.81,29.99,29.88,0,10,8,4,28,12,0,1,1,2.88,1
2011-03-10,43,63,53,31,42,37,30,89,30.18,30.3,30.25,10,10,10,0,18,6,0,0,0,0,3
2011-03-15,47,68,58,38,54,44,34,89,30.13,30.23,30.17,10,10,10,0,12,4,0,1,0,1e-16,1
2011-03-17,49,80,65,48,64,57,48,100,30.18,30.29,30.23,6,10,9,0,17,6,0,0,0,0,1
2011-03-25,55,79,67,39,67,51,47,90,29.83,29.97,29.91,10,10,10,4,17,8,0,0,0,0,1
2011-03-29,55,80,68,52,72,62,69,100,29.85,29.97,29.91,2,10,10,0,21,7,0,1,0,1.2,2
2011-04-01,48,81,65,48,63,57,48,100,29.77,29.92,29.85,10,10,10,0,17,6,0,0,0,0,2
2011-04-02,57,82,70,58,64,61,47,100,29.93,30.06,29.99,4,10,9,0,10,3,0,1,0,1e-16,1
2011-04-04,51,84,68,49,73,66,65,93,29.7,30.04,29.82,1,10,9,4,29,15,0,1,0,0.16,1
2011-04-09,68,87,78,64,72,69,46,100,29.99,30.09,30.03,0,10,8,0,17,8,1,0,0,0,2
2011-04-10,72,88,80,64,73,71,50,100,29.91,30.04,29.99,10,10,10,5,24,12,0,0,0,0,2
2011-04-11,64,85,75,61,72,69,65,100,29.85,29.99,29.91,2,10,10,0,26,9,0,1,0,0.1,1
2011-04-14,57,83,70,56,71,64,58,93,29.79,29.97,29.89,10,10,10,0,20,9,0,0,0,1e-16,1
2011-04-15,62,86,74,37,72,67,34,100,29.69,29.89,29.78,10,10,10,0,30,14,0,1,0,1e-16,1
2011-04-17,46,76,61,39,57,46,27,93,29.95,30.1,30.03,10,10,10,0,18,7,0,0,0,0,1
2011-04-20,71,89,80,64,73,70,47,94,29.9,30.06,29.98,10,10,10,0,18,10,0,0,0,0,1
2011-04-25,68,89,79,60,72,69,40,100,29.71,29.94,29.86,2,10,9,4,28,14,0,0,0,0,1
2011-04-26,65,88,77,63,72,68,54,100,29.57,29.85,29.71,2,10,9,5,49,15,0,1,1,0.72,1
2011-04-27,66,86,76,51,78,71,39,87,29.56,29.94,29.66,5,10,9,7,29,15,0,1,0,0.01,2
2011-05-01,68,89,79,64,72,68,46,97,29.9,29.96,29.93,10,10,10,4,20,10,0,0,0,0,2
2011-05-01,68,89,79,64,72,68,46,97,29.9,29.96,29.93,10,10,10,4,20,10,0,0,0,0,2
2011-05-04,43,75,59,42,51,46,31,100,30.24,30.37,30.3,10,10,10,0,16,5,0,0,0,0,1
2011-05-11,64,89,77,63,71,66,44,100,29.89,29.97,29.92,8,10,10,0,17,7,0,0,0,0,1
2011-05-15,53,74,64,45,54,50,35,93,29.85,29.95,29.9,10,10,10,0,16,5,0,0,0,0,1
2011-05-17,46,76,61,45,53,48,36,100,29.79,29.95,29.87,10,10,10,0,15,3,0,0,0,0,1
2011-05-23,73,93,83,64,75,71,41,100,29.91,29.98,29.94,10,10,10,0,22,10,0,0,0,0,1
2011-05-29,69,94,82,66,74,70,41,100,29.87,29.99,29.94,10,10,10,4,18,9,0,0,0,0,1
2011-06-04,73,100,87,64,75,70,33,94,30.01,30.14,30.06,4,10,10,0,17,4,0,1,1,0.12,1
2011-06-06,69,97,83,68,73,71,40,100,29.88,29.97,29.93,2,10,8,0,24,4,0,1,1,0.43,1
2011-06-07,68,95,82,65,72,68,41,100,29.86,30.01,29.93,3,10,8,0,21,5,0,0,1,0,1
2011-06-15,74,96,85,70,75,73,43,100,29.83,29.92,29.87,10,10,10,5,20,10,0,0,0,0,1
2011-06-28,75,96,86,70,77,74,46,91,29.98,30.06,30.02,10,10,10,0,18,4,0,0,0,0,2
2011-08-04,79,96,88,75,81,79,51,100,29.85,29.95,29.9,10,10,10,0,13,4,0,0,0,0,1
2011-08-06,76,96,86,74,81,77,52,100,29.89,29.98,29.94,8,10,10,0,8,2,0,0,0,0,1
2011-08-09,79,96,88,77,81,79,56,100,29.78,29.91,29.84,10,10,10,5,16,9,0,1,1,1e-16,1
2011-08-18,77,101,89,67,79,74,33,100,29.85,29.99,29.93,2,10,9,0,31,2,0,1,1,1e-16,1
2011-08-21,76,96,86,72,77,75,45,100,29.94,30.02,29.98,10,10,10,0,17,3,0,0,1,1e-16,1
2011-08-29,68,99,84,59,68,64,28,90,29.78,29.89,29.82,6,10,9,0,12,3,0,0,0,0,2
