year_month_day,min_temperature,max_temperature,avg_temperature,min_dewpoint,max_dewpoint,avg_dewpoint,min_humidity,max_humidity,min_pressure,max_pressure,avg_pressure,min_visibility,max_visibility,avg_visibility,min_wind_speed,max_wind_speed,avg_wind_speed,fog,rain,thunder,precipitation,num_crimes
2011-01-01,44,71,58,29,72,51,35,100,29.83,30.19,29.98,2,10,10,0,21,8,0,1,0,0.23,5
2011-01-02,34,54,44,18,33,27,24,76,30.2,30.37,30.3,10,10,10,0,14,5,0,0,0,0,1
2011-01-08,38,60,49,23,43,29,24,92,29.79,29.97,29.9,10,10,10,0,15,4,0,0,0,0,2
2011-01-13,21,45,33,12,21,16,28,77,30.49,30.67,30.57,10,10,10,0,14,3,0,0,0,0,1
2011-01-16,44,59,52,40,47,43,47,93,30.01,30.17,30.09,10,10,10,0,9,5,0,1,0,0.04,2
2011-01-19,42,63,53,42,49,45,51,100,29.98,30.12,30.03,5,10,10,0,9,4,0,0,0,0,1
2011-01-20,39,63,51,37,54,46,67,100,29.88,30.08,29.99,9,10,10,0,16,6,0,1,0,1e-16,1
2011-01-22,25,50,38,20,29,24,33,92,30.02,30.14,30.07,10,10,10,0,13,2,0,0,0,0,1
2011-01-25,41,56,49,40,55,50,83,100,29.8,30.07,29.9,2,10,9,0,23,8,0,1,0,0.3,3
2011-01-29,42,69,56,43,54,49,52,100,30.07,30.18,30.1,5,10,10,0,13,4,0,0,0,0,1
2011-02-01,30,70,50,22,68,50,70,100,29.69,30.19,29.86,1,10,8,7,32,12,0,1,0,0.38,4
2011-02-12,25,60,43,20,33,26,21,92,30.4,30.51,30.44,10,10,10,0,9,2,0,0,0,0,1
2011-02-14,41,72,57,41,51,46,41,100,30.19,30.32,30.25,10,10,10,0,13,4,0,0,0,0,2
2011-02-15,42,72,57,42,55,47,40,100,30.15,30.28,30.22,0,10,8,0,13,4,1,0,0,0,2
2011-02-17,52,77,65,52,61,56,47,100,30.08,30.17,30.13,0,10,5,0,22,8,1,0,0,0,1
2011-02-18,48,80,64,48,63,55,48,100,30.13,30.26,30.19,0,10,5,0,13,3,1,0,0,0,1
2011-02-23,56,79,68,56,65,62,64,100,30.02,30.12,30.06,3,10,8,0,16,7,0,0,0,0,1
2011-02-26,50,82,66,48,65,57,43,93,29.91,30.07,30.0,5,10,10,4,18,8,0,0,0,0,3
2011-02-28,58,87,73,40,72,63,33,90,29.81,30.12,29.93,7,10,10,6,22,12,0,1,0,1e-16,1
2011-03-01,46,75,61,32,51,42,22,86,30.13,30.25,30.18,9,10,10,0,13,4,0,0,0,0,4
2011-03-01,46,75,61,32,51,42,22,86,30.13,30.25,30.18,9,10,10,0,13,4,0,0,0,0,4
2011-03-09,55,75,65,42,70,60,56,100,29.83,30.18,29.95,1,10,9,0,22,9,0,1,1,0.87,1
2011-03-12,43,74,59,43,56,50,46,93,30.13,30.26,30.19,10,10,10,0,18,8,0,0,0,0,1
2011-03-16,44,76,60,41,49,45,29,93,30.2,30.31,30.24,10,10,10,0,13,4,0,0,0,0,1
2011-03-17,49,80,65,48,64,57,48,100,30.18,30.29,30.23,6,10,9,0,17,6,0,0,0,0,2
2011-03-20,53,81,67,52,63,56,36,100,30.18,30.27,30.22,0,10,8,0,15,4,1,0,0,0,1
2011-03-22,66,83,75,58,67,64,43,100,29.96,30.16,30.06,8,10,10,5,22,12,0,0,0,0,3
2011-03-23,66,83,75,60,66,65,47,100,29.85,29.96,29.91,5,10,10,7,22,12,0,0,0,0,1
2011-03-24,54,81,68,35,67,51,20,100,29.92,30.05,29.96,8,10,10,0,15,5,0,0,0,0,1
2011-03-26,67,86,77,60,70,68,44,100,29.7,29.83,29.78,10,10,10,0,24,12,0,0,0,0,1
2011-03-27,62,85,74,59,71,67,51,100,29.75,29.84,29.79,8,10,10,0,15,5,0,1,0,1e-16,1
2011-03-28,55,75,65,52,58,55,53,93,29.85,29.97,29.91,10,10,10,0,12,6,0,0,0,0,1
2011-03-30,49,67,58,48,66,59,78,100,29.77,29.9,29.85,2,10,9,0,18,6,0,1,0,0.42,1
2011-03-31,48,64,56,44,50,47,52,100,29.76,29.9,29.84,5,10,9,0,12,4,0,0,0,0,2
2011-04-01,48,81,65,48,63,57,48,100,29.77,29.92,29.85,10,10,10,0,17,6,0,0,0,0,1
2011-04-04,51,84,68,49,73,66,65,93,29.7,30.04,29.82,1,10,9,4,29,15,0,1,0,0.16,1
2011-04-07,53,84,69,54,71,63,54,100,29.88,30.01,29.95,10,10,10,0,18,6,0,0,0,0,2
2011-04-09,68,87,78,64,72,69,46,100,29.99,30.09,30.03,0,10,8,0,17,8,1,0,0,0,1
2011-04-11,64,85,75,61,72,69,65,100,29.85,29.99,29.91,2,10,10,0,26,9,0,1,0,0.1,2
