year_month_day,min_temperature,max_temperature,avg_temperature,min_dewpoint,max_dewpoint,avg_dewpoint,min_humidity,max_humidity,min_pressure,max_pressure,avg_pressure,min_visibility,max_visibility,avg_visibility,min_wind_speed,max_wind_speed,avg_wind_speed,fog,rain,thunder,precipitation,num_crimes
2011-01-09,37,44,41,24,37,32,45,100,29.78,30.01,29.9,2,10,9,5,29,12,0,1,0,0.53,1
2011-01-11,32,47,40,23,37,29,45,92,30.22,30.55,30.42,10,10,10,5,16,8,0,0,0,0,1
2011-01-13,21,45,33,12,21,16,28,77,30.49,30.67,30.57,10,10,10,0,14,3,0,0,0,0,2
2011-01-14,26,49,38,18,30,22,29,81,30.36,30.48,30.42,10,10,10,0,9,3,0,0,0,0,1
2011-01-16,44,59,52,40,47,43,47,93,30.01,30.17,30.09,10,10,10,0,9,5,0,1,0,0.04,1
2011-01-18,51,65,58,48,63,55,83,100,29.72,30.0,29.83,1,10,8,0,18,6,0,1,0,1.12,1
2011-01-19,42,63,53,42,49,45,51,100,29.98,30.12,30.03,5,10,10,0,9,4,0,0,0,0,1
2011-01-21,31,49,40,21,35,26,34,92,29.98,30.1,30.05,10,10,10,0,15,6,0,0,0,0,1
2011-01-24,42,65,54,42,57,52,67,100,29.93,30.09,30.01,3,10,9,4,17,8,0,1,0,1.38,1
2011-01-25,41,56,49,40,55,50,83,100,29.8,30.07,29.9,2,10,9,0,23,8,0,1,0,0.3,1
2011-02-01,30,70,50,22,68,50,70,100,29.69,30.19,29.86,1,10,8,7,32,12,0,1,0,0.38,1
2011-02-02,25,36,31,16,21,19,51,75,30.16,30.4,30.32,10,10,10,6,16,9,0,0,0,0,1
2011-02-03,30,32,31,20,29,24,63,85,30.25,30.43,30.33,10,10,10,6,15,8,0,1,0,1e-16,1
2011-02-05,27,48,38,24,29,27,39,92,29.97,30.12,30.04,10,10,10,0,18,6,0,0,0,0,2
2011-02-06,28,65,47,27,48,39,48,100,29.95,30.03,29.99,10,10,10,0,18,7,0,0,0,0,2
2011-02-07,32,54,43,31,52,40,70,100,29.91,30.24,30.07,10,10,10,0,20,9,0,1,0,0.13,1
2011-02-08,27,54,41,23,34,29,32,100,30.17,30.35,30.25,8,10,10,0,13,4,0,0,0,0,2
2011-02-10,29,42,36,23,32,28,55,100,30.16,30.29,30.23,10,10,10,0,15,7,0,0,0,0,1
2011-02-11,24,50,37,19,26,22,29,88,30.27,30.41,30.34,10,10,10,0,10,3,0,0,0,0,1
2011-02-12,25,60,43,20,33,26,21,92,30.4,30.51,30.44,10,10,10,0,9,2,0,0,0,0,2
2011-02-16,41,72,57,41,55,47,49,100,30.14,30.25,30.19,0,10,6,0,17,6,1,0,0,0,2
2011-02-17,52,77,65,52,61,56,47,100,30.08,30.17,30.13,0,10,5,0,22,8,1,0,0,0,4
2011-02-18,48,80,64,48,63,55,48,100,30.13,30.26,30.19,0,10,5,0,13,3,1,0,0,0,1
