offense_date,num_crimes
2011-01-01,242
2011-01-02,145
2011-01-03,133
2011-01-04,154
2011-01-05,142
2011-01-06,156
2011-01-07,196
2011-01-08,199
2011-01-09,131
2011-01-10,127
2011-01-11,132
2011-01-12,155
2011-01-13,183
2011-01-14,248
2011-01-15,213
2011-01-16,204
2011-01-17,157
2011-01-18,171
2011-01-19,158
2011-01-20,121
2011-01-21,208
2011-01-22,188
2011-01-23,152
2011-01-24,115
2011-01-25,163
2011-01-26,170
2011-01-27,198
2011-01-28,229
2011-01-29,172
2011-01-30,99
2011-01-31,121
2011-02-01,187
2011-02-02,161
2011-02-03,187
2011-02-04,143
2011-02-05,150
2011-02-06,117
2011-02-07,100
2011-02-08,209
2011-02-09,123
2011-02-10,216
2011-02-11,192
2011-02-12,148
2011-02-13,115
2011-02-14,119
2011-02-15,170
2011-02-16,189
2011-02-17,204
2011-02-18,218
2011-02-19,196
2011-02-20,147
2011-02-21,124
2011-02-22,154
2011-02-23,173
2011-02-24,132
2011-02-25,232
2011-02-26,193
2011-02-27,190
2011-02-28,173
2011-03-01,213
2011-03-02,162
2011-03-03,192
2011-03-04,179
2011-03-05,147
2011-03-06,169
2011-03-07,129
2011-03-08,108
2011-03-09,178
2011-03-10,198
2011-03-11,224
2011-03-12,191
2011-03-13,151
2011-03-14,141
2011-03-15,140
2011-03-16,148
2011-03-17,202
2011-03-18,227
2011-03-19,245
2011-03-20,175
2011-03-21,173
2011-03-22,156
2011-03-23,231
2011-03-24,190
2011-03-25,290
2011-03-26,176
2011-03-27,190
2011-03-28,133
2011-03-29,167
2011-03-30,161
2011-03-31,212
2011-04-01,247
2011-04-02,145
2011-04-03,169
2011-04-04,125
2011-04-05,188
2011-04-06,270
2011-04-07,232
2011-04-08,227
2011-04-09,184
2011-04-10,184
2011-04-11,175
2011-04-12,227
2011-04-13,234
2011-04-14,238
2011-04-15,217
2011-04-16,168
2011-04-17,135
2011-04-18,129
2011-04-19,189
2011-04-20,167
2011-04-21,168
2011-04-22,244
2011-04-23,191
2011-04-24,217
2011-04-25,146
2011-04-26,147
2011-04-27,155
2011-04-28,185
2011-04-29,256
2011-04-30,217
2011-05-01,237
2011-05-02,139
2011-05-03,116
2011-05-04,165
2011-05-05,163
2011-05-06,254
2011-05-07,210
2011-05-08,187
2011-05-09,128
2011-05-10,161
2011-05-11,135
2011-05-12,182
2011-05-13,225
2011-05-14,198
2011-05-15,211
2011-05-16,175
2011-05-17,188
2011-05-18,220
2011-05-19,195
2011-05-20,231
2011-05-21,148
2011-05-22,156
2011-05-23,157
2011-05-24,221
2011-05-25,210
2011-05-26,246
2011-05-27,240
2011-05-28,204
2011-05-29,211
2011-05-30,124
2011-05-31,202
2011-06-01,238
2011-06-02,212
2011-06-03,232
2011-06-04,143
2011-06-05,159
2011-06-06,129
2011-06-07,186
2011-06-08,172
2011-06-09,196
2011-06-10,222
2011-06-11,169
2011-06-12,158
2011-06-13,160
2011-06-14,183
2011-06-15,176
2011-06-16,189
2011-06-17,215
2011-06-18,214
2011-06-19,224
2011-06-20,169
2011-06-21,179
2011-06-22,169
2011-06-23,183
2011-06-24,239
2011-06-25,218
2011-06-26,176
2011-06-27,168
2011-06-28,173
2011-06-29,153
2011-06-30,198
2011-07-01,263
2011-07-02,209
2011-07-03,200
2011-07-04,175
2011-07-05,197
2011-07-06,163
2011-07-07,202
2011-07-08,223
2011-07-09,219
2011-07-10,177
2011-07-11,199
2011-07-12,163
2011-07-13,185
2011-07-14,188
2011-07-15,204
2011-07-16,183
2011-07-17,145
2011-07-18,128
2011-07-19,191
2011-07-20,205
2011-07-21,191
2011-07-22,234
2011-07-23,213
2011-07-24,182
2011-07-25,151
2011-07-26,221
2011-07-27,162
2011-07-28,202
2011-07-29,193
2011-07-30,136
2011-07-31,108
2011-08-01,151
2011-08-02,154
2011-08-03,156
2011-08-04,256
2011-08-05,191
2011-08-06,178
2011-08-07,130
2011-08-08,133
2011-08-09,167
2011-08-10,126
2011-08-11,204
2011-08-12,222
2011-08-13,241
2011-08-14,167
2011-08-15,125
2011-08-16,148
2011-08-17,147
2011-08-18,155
2011-08-19,219
2011-08-20,196
2011-08-21,186
2011-08-22,168
2011-08-23,155
2011-08-24,155
2011-08-25,144
2011-08-26,176
2011-08-27,200
2011-08-28,162
2011-08-29,161
2011-08-30,138
2011-08-31,164
2011-09-01,221
2011-09-02,194
2011-09-03,109
2011-09-04,109
2011-09-05,160
2011-09-06,174
2011-09-07,171
2011-09-08,167
2011-09-09,191
2011-09-10,236
2011-09-11,152
2011-09-12,131
2011-09-13,151
2011-09-14,188
2011-09-15,174
2011-09-16,154
2011-09-17,195
2011-09-18,118
2011-09-19,131
2011-09-20,175
2011-09-21,191
2011-09-22,208
2011-09-23,225
2011-09-24,172
2011-09-25,156
2011-09-26,119
2011-09-27,154
2011-09-28,124
2011-09-29,220
2011-09-30,175
2011-10-01,156
2011-10-02,135
2011-10-03,130
2011-10-04,153
2011-10-05,162
2011-10-06,171
2011-10-07,217
2011-10-08,221
2011-10-09,180
2011-10-10,131
2011-10-11,156
2011-10-12,127
2011-10-13,201
2011-10-14,201
2011-10-15,188
2011-10-16,152
2011-10-17,146
2011-10-18,162
2011-10-19,151
2011-10-20,147
2011-10-21,153
2011-10-22,171
2011-10-23,130
2011-10-24,139
2011-10-25,130
2011-10-26,143
2011-10-27,141
2011-10-28,210
2011-10-29,135
2011-10-30,143
2011-10-31,143
2011-11-01,201
2011-11-02,168
2011-11-03,182
2011-11-04,131
2011-11-05,132
2011-11-06,154
2011-11-07,124
2011-11-08,149
2011-11-09,149
2011-11-10,182
2011-11-11,139
2011-11-12,152
2011-11-13,165
2011-11-14,146
2011-11-15,164
2011-11-16,158
2011-11-17,197
2011-11-18,202
2011-11-19,149
2011-11-20,146
2011-11-21,102
2011-11-22,127
2011-11-23,145
2011-11-24,122
2011-11-25,174
2011-11-26,128
2011-11-27,92
2011-11-28,128
2011-11-29,123
2011-11-30,161
2011-12-01,189
2011-12-02,212
2011-12-03,134
2011-12-04,149
2011-12-05,135
2011-12-06,130
2011-12-07,96
2011-12-08,157
2011-12-09,193
2011-12-10,203
2011-12-11,136
2011-12-12,128
2011-12-13,104
2011-12-14,143
2011-12-15,120
2011-12-16,169
2011-12-17,150
2011-12-18,170
2011-12-19,151
2011-12-20,145
2011-12-21,141
2011-12-22,179
2011-12-23,210
2011-12-24,153
2011-12-25,117
2011-12-26,70
2011-12-27,128
2011-12-28,182
2011-12-29,184
2011-12-30,164
2011-12-31,150
2012-01-01,202
2012-01-02,88
2012-01-03,134
2012-01-04,175
2012-01-05,186
2012-01-06,205
2012-01-07,159
